Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit
absf_max,Absolute Feuchte Maximalwert,"Absolute Feuchte, Maximum berechnet aus Tageswerten",g/m³
absf_max_flag,Qualitätsflag für Absolute Feuchte Maximalwert,"Qualitätsflag für Absolute Feuchte, Maximum berechnet aus Tageswerten",code
absf_min,Absolute Feuchte Minimalwert,"Absolute Feuchte, Minimum berechnet aus Tageswerten",g/m³
absf_min_flag,Qualitätsflag für Absolute Feuchte Minimalwert,"Qualitätsflag für Absolute Feuchte, Minimum berechnet aus Tageswerten",code
absf_mittel,Absolute Feuchte Mittelwert,"Absolute Feuchte, Monatsmittel berechnet aus Tageswerten",g/m³
absf_mittel_flag,Qualitätsflag für Absolute Feuchte Mittelwert,"Qualitätsflag für Absolute Feuchte, Monatsmittel berechnet aus Tageswerten",code
aequi,Äquivalenttemperatur Mittelwert,"Äquivalenttemperatur, Monatsmittel",°C
aequi_flag,Qualitätsflag für Äquivalenttemperatur Mittelwert,"Qualitätsflag für Äquivalenttemperatur, Monatsmittel",code
bet0,Lufttemperatur Beton 0cm Mittelwert,"Betontemperatur in 0 cm Tiefe, Monats-Mittelwert aus Stundenwerten",°C
bet0_flag,Qualitätsflag für Lufttemperatur Beton 0cm Mittelwert,"Qualitätsflag für Betontemperatur in 0 cm Tiefe, Monats-Mittelwert aus Stundenwerten",code
bet0_max,Lufttemperatur Beton 0cm Maximalwert,"Betontemperatur in 0 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
bet0_max_flag,Qualitätsflag für Lufttemperatur Beton 0cm Maximalwert,"Qualitätsflag für Betontemperatur in 0 cm Tiefe, Monats-Maximum aller Stundenwerte",code
bet0_min,Lufttemperatur Beton 0cm Minimalwert,"Betontemperatur in 0 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
bet0_min_flag,Qualitätsflag für Lufttemperatur Beton 0cm Minimalwert,"Qualitätsflag für Betontemperatur in 0 cm Tiefe, Monats-Minimum aller Stundenwerte",code
bewm_iii_mittel,Bewölkungsmenge Mittelwert zum Beobachtungtermin III,"Bewölkungsmenge, Monats-Mittelwert der Terminwerte III (18:00 UTC)",1/100
bewm_iii_mittel_flag,Qualitätsflag für Bewölkungsmenge Mittelwert zum Beobachtungtermin III,"Qualitätsflag für Bewölkungsmenge, Monats-Mittelwert der Terminwerte III (18:00 UTC)",code
bewm_ii_mittel,Bewölkungsmenge Mittelwert zum Beobachtungtermin II,"Bewölkungsmenge, Monats-Mittelwert der Terminwerte II (13:00 UTC)",1/100
bewm_ii_mittel_flag,Qualitätsflag für Bewölkungsmenge Mittelwert zum Beobachtungtermin II,"Qualitätsflag für Bewölkungsmenge, Monats-Mittelwert der Terminwerte II (13:00 UTC)",code
bewm_i_mittel,Bewölkungsmenge Mittelwert zum Beobachtungtermin I,"Bewölkungsmenge, Monats-Mittelwert der Terminwerte I (06:00 UTC)",1/100
